 1	                                                   C_n76_u37	 75	 37	 14	 263	     22.22	      3.96	      2.10	     11.63	     23.72	      0.00	     0	   413	     0	     0	  4794	  3048	    50	   425	     0	    12	  7791	    50	  4346	  2392.397	  2467.000	    7	    4	     0.000	    621.48	    184.48	     93.82	    355.58	   1576.62	      0.00	     0	  3226	     0	     0	 85497	 98189	  3832	 13699	   404	    67	171383	  3832	     0	  2452.728	  2354.000	    7	    3	     0.000	  2241
 1	                                                   C_n76_u37	 75	 37	 11	 263	      3.04	      3.39	      1.10	      3.58	      7.17	      0.00	     0	   725	     0	     0	    38	  1384	    26	     9	     0	     0	  1697	    26	  1935	  2469.915	  2625.000	    7	    5	     0.000	    449.36	    626.90	    124.69	    219.75	   1979.57	      0.00	     0	  7662	     0	     0	 52510	104738	  2814	  3795	    63	    29	164255	  2814	     0	  2508.409	  2472.000	    7	    4	     0.000	  7925
 1	                                                   C_n76_u37	 75	 37	  9	 263	      1.45	      2.12	      0.47	      1.58	      3.46	      0.00	     0	   391	     0	     0	    14	   696	    17	     4	     0	     0	   814	    17	   896	  2562.908	  2643.000	    7	    5	     0.000	      4.15	      5.51	      1.12	      3.14	     17.96	      0.00	     0	   531	     0	     0	   320	  1329	    31	    11	     0	     0	  1786	    31	     0	  2651.000	  2473.000	    7	    5	     0.000	    27
 0	                                                   C_n76_u56	 75	 56	 21	 369	      0.01	      0.00	      0.01	      0.03	      0.04	      0.00	     0	   105	     0	     0	     0	     3	     0	     0	     0	     0	     7	     0	    11	  3492.143	     0.000	    0	    0	     0.000	      0.01	      0.00	      0.01	      0.03	      0.26	      0.00	     0	   105	     0	     0	     0	     3	     0	     0	     0	     0	     7	     0	     0	  3492.143	     0.000	    0	    0	     0.000	     1
 0	                                                   C_n76_u56	 75	 56	 16	 369	      0.01	      0.00	      0.01	      0.04	      0.06	      0.00	     0	   113	     0	     0	     0	     5	     0	     0	     0	     0	    14	     0	    14	  3517.938	     0.000	    0	    0	     0.000	      0.01	      0.00	      0.01	      0.04	      0.24	      0.00	     0	   113	     0	     0	     0	     5	     0	     0	     0	     0	    14	     0	     0	  3517.938	     0.000	    0	    0	     0.000	     1
 0	                                                   C_n76_u56	 75	 56	 13	 369	      0.01	      0.00	      0.01	      0.02	      0.03	      0.00	     0	   100	     0	     0	     0	     5	     0	     0	     0	     0	    15	     0	    11	  3531.192	     0.000	    0	    0	     0.000	      0.01	      0.00	      0.01	      0.02	      0.60	      0.00	     0	   100	     0	     0	     0	     5	     0	     0	     0	     0	    15	     0	     0	  3531.192	     0.000	    0	    0	     0.000	     1
 1	                                                  C_n101_u25	100	 25	 10	 281	      2.30	      1.31	      0.15	      1.28	      3.10	      0.00	     0	   174	     0	     0	   845	   303	     8	     6	     0	     0	   333	     8	   457	  1248.580	  1269.000	    6	    4	     0.000	     19.58	     14.85	      1.56	      8.06	     51.89	      0.00	     0	   622	     0	     0	  5418	  1905	   164	    69	     8	     0	  2122	   164	     0	  1259.100	  1261.000	    6	    4	     0.000	    73
 1	                                                  C_n101_u25	100	 25	  7	 281	      4.23	      3.92	      0.75	      2.82	      7.74	      0.00	     0	   580	     0	     0	  1056	   916	     2	     4	     0	     1	   976	     2	  1330	  1331.871	  1490.000	    7	    5	     0.000	    130.69	    106.69	     26.01	     64.85	    422.33	      0.00	     0	  2319	     0	     0	 21643	 25478	   563	   462	    16	     9	 26531	   563	     0	  1356.383	  1358.000	    6	    5	     0.000	   569
 1	                                                  C_n101_u25	100	 25	  6	 281	      6.59	      2.71	      1.10	      3.28	      8.01	      0.00	     0	   357	     0	     0	  2157	  1208	    96	     4	     0	     0	  1272	    96	  1677	  1384.467	  1492.000	    6	    6	     0.000	     50.56	     74.25	      9.82	     25.57	    195.19	      0.00	     0	  1089	     0	     0	 10954	  9319	   458	   154	     0	    15	  9839	   458	     0	  1415.120	  1415.000	    6	    5	     0.000	   255
 1	                                                  C_n101_u50	100	 50	 19	 432	     81.32	     15.20	      9.66	     41.72	     88.06	      0.00	     0	  1893	     0	     0	 16301	  8938	    81	     2	     0	    27	 30085	    81	 10613	  2800.316	  2888.000	   10	    3	     0.000	   1413.80	   1644.44	    276.75	    992.24	   5982.82	      0.00	     0	  7996	     0	     0	122801	174102	 14735	   190	     0	    49	370665	 14735	     0	  2830.429	  2782.000	   10	    3	     0.000	  8267
 1	                                                  C_n101_u50	100	 50	 14	 432	     61.53	     13.91	     10.86	     38.47	     80.13	      0.00	     0	  2163	     0	     0	 11208	 10705	     3	     8	     0	    88	 19734	     3	 12112	  2951.554	  3029.000	   10	    4	     0.000	   2853.20	   1324.45	    375.89	   1298.16	   7202.09	      0.00	     0	 24434	     0	     0	404523	240209	  7918	  8007	    54	  1335	886608	  7918	     0	  3025.917	  3029.000	   10	    4	     0.000	  7022
 1	                                                  C_n101_u50	100	 50	 12	 432	     78.13	     14.70	     12.70	     38.64	     88.27	      0.00	     0	  1849	     0	     0	 17140	  9957	     7	     2	     0	     2	 25057	     7	 11806	  3061.667	  3201.000	    8	    6	     0.000	    942.22	    582.03	    207.78	    545.33	   2851.47	      0.00	     0	 15044	     0	     0	120544	121419	  4455	   398	     0	    55	278769	  4455	     0	  3163.250	  3126.000	    9	    5	     0.000	  2759
 1	                                                  C_n126_u31	125	 31	 12	 375	     45.54	     21.55	      9.61	     23.57	     66.21	      0.00	     0	  1791	     0	     0	  4606	  8014	   472	    12	     0	     0	  8251	   472	  9605	  1528.452	  1620.000	    8	    3	     0.000	   1842.82	   1000.54	    397.24	    774.64	   5067.56	      0.00	     0	 14472	     0	     0	186833	207238	  3987	  4101	    13	    17	214502	  3987	     0	  1556.083	  1560.000	    7	    4	     0.000	  2433
 1	                                                  C_n126_u31	125	 31	  9	 375	     64.28	     17.68	      7.95	     31.38	     76.39	      0.00	     0	  1222	     0	     0	  9212	  8699	   181	     2	     0	     0	  8846	   181	 10210	  1587.056	  1694.000	    8	    5	     0.000	    952.02	    451.51	    161.75	    404.21	   2529.02	      0.00	     0	  7274	     0	     0	106073	103651	   619	  1278	     8	     2	110717	   619	     0	  1618.870	  1616.000	    7	    5	     0.000	   961
 1	                                                  C_n126_u31	125	 31	  7	 375	     10.20	      8.08	      1.35	      4.44	     14.43	      0.00	     0	   392	     0	     0	   895	  1659	    15	     2	     0	     0	  1693	    15	  1994	  1659.143	  1772.000	    8	    6	     0.000	    744.59	    535.15	    168.46	    362.81	   2288.39	      0.00	     0	  8638	     0	     0	 93131	115606	   467	     9	     0	     3	116528	   467	     0	  1694.429	  1698.000	    8	    5	     0.000	  1045
